剧本,人物A,A层级,人物B,B层级,四字关系,关系说明,关系权重,关系类型,显示层级
群英会·借东风,周瑜,核心,诸葛亮,核心,谋略对峙,周瑜忌惮诸葛亮才能，多次设局试探或加害；诸葛亮识破并反以大局破曹为重。,5,conflict,主干
群英会·借东风,周瑜,核心,鲁肃,主要,军议协同,鲁肃在周瑜帐下参与军议、代笔书信，并在周瑜与诸葛亮之间传递信息。,4,alliance,主干
群英会·借东风,鲁肃,主要,诸葛亮,核心,居中传话,鲁肃多次向诸葛亮传达周瑜意图，也将诸葛亮反应回报周瑜。,4,support,主干
群英会·借东风,周瑜,核心,蒋干,主要,旧友试探,蒋干过江劝降，周瑜借同窗旧谊设群英会并布局反间。,5,info,主干
群英会·借东风,蒋干,主要,曹操,核心,盗书献计,蒋干盗得伪造书信后回曹营献给曹操，推动曹操误判。,5,info,主干
群英会·借东风,周瑜,核心,曹操,核心,隔江对峙,孙曹两军隔江对峙，周瑜围绕破曹展开反间、火攻与借风布局。,5,conflict,主干
群英会·借东风,曹操,核心,蔡瑁,次要,误杀水将,曹操误信伪书，杀害熟习水战的蔡瑁。,3,conflict,次干
群英会·借东风,曹操,核心,张允,次要,误杀水将,曹操误信伪书，杀害熟习水战的张允。,3,conflict,次干
群英会·借东风,曹操,核心,蔡中,次要,派遣诈降,曹操派蔡中前往东吴诈降，以探听和牵制周瑜。,3,command,次干
群英会·借东风,曹操,核心,蔡和,次要,派遣诈降,曹操派蔡和前往东吴诈降，与蔡中形成同一情节线。,3,command,次干
群英会·借东风,周瑜,核心,黄盖,主要,苦肉诈降,周瑜激发黄盖诈降曹营，服务火攻破曹的总体计划。,4,command,主干
群英会·借东风,周瑜,核心,甘宁,主要,巡营布置,周瑜命甘宁巡营，并配合蒋干盗书后的离营安排。,3,command,次干
群英会·借东风,周瑜,核心,阚泽,主要,献书诈降,阚泽承担传递诈降书、推进黄盖诈降情节的功能。,3,info,次干
群英会·借东风,周瑜,核心,庞统,主要,连环献策,庞统与火攻、连环计相关，推动破曹方案成形。,3,info,次干
群英会·借东风,诸葛亮,核心,赵云,主要,接应脱身,诸葛亮借东风后需赵云接应，使其从东吴脱身。,3,support,次干
群英会·借东风,诸葛亮,核心,小道童,次要,祭风随侍,道童作为祭风情节中的随侍角色，服务诸葛亮借东风段落。,2,support,弱关系
空城计,诸葛亮,核心,司马懿,核心,智谋对峙,诸葛亮以空城计稳定司马懿疑心，司马懿因惧伏兵而退兵。,5,conflict,主干
空城计,诸葛亮,核心,童儿,次要,城楼随侍,童儿随诸葛亮携琴酒上城楼，配合空城计的外在表演。,3,support,次干
空城计,诸葛亮,核心,老军甲,次要,开门扫街,诸葛亮命老军开城门、扫街道，以制造空城不惧的假象。,3,command,次干
空城计,诸葛亮,核心,老军乙,次要,开门扫街,老军乙与老军甲共同执行开门扫街，烘托城中虚实难辨。,3,command,次干
空城计,诸葛亮,核心,赵云,主要,调令回援,诸葛亮先命人调赵云回营，退兵后又命赵云抵挡司马懿复夺西城。,4,command,主干
空城计,司马懿,核心,司马师,主要,父子随军,司马师随司马懿率军至西城，参与判断空城虚实。,3,alliance,次干
空城计,司马懿,核心,司马昭,主要,父子辨城,司马昭认为西城为空，劝司马懿乘机进城。,3,info,次干
空城计,司马懿,核心,赵云,主要,遭遇退兵,司马懿复夺西城时与赵云军相遇，因见赵云接应而收兵。,3,conflict,次干
空城计,旗牌,次要,诸葛亮,核心,献图报信,旗牌向诸葛亮献地理图，并奉命调赵云回营。,2,info,弱关系
空城计,报子,次要,诸葛亮,核心,探马报信,报子多次向诸葛亮报告街亭失守、司马懿兵临西城等军情。,2,info,弱关系
